Name,Overall,Balance,Stamina,Strength,HeadingAccuracy,ShortPassing,LongPassing,Dribbling,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Aggression,Jumping,Vision,Composure,StandingTackle,SlidingTackle
J. Rodríguez,88,76.0,70.0,68.0,62.0,89.0,83.0,85.0,90.0,73.0,67.0,83.0,86.0,64.0,54.0,89.0,87.0,41.0,44.0
L. Insigne,88,93.0,75.0,44.0,56.0,85.0,78.0,90.0,93.0,94.0,86.0,94.0,75.0,34.0,53.0,87.0,83.0,24.0,22.0
Isco,88,90.0,70.0,59.0,55.0,89.0,83.0,94.0,95.0,75.0,69.0,87.0,69.0,58.0,64.0,89.0,86.0,64.0,51.0
C. Eriksen,88,81.0,92.0,58.0,52.0,91.0,88.0,84.0,91.0,75.0,73.0,79.0,84.0,46.0,50.0,91.0,88.0,57.0,22.0
Coutinho,88,93.0,79.0,61.0,48.0,88.0,83.0,91.0,92.0,89.0,75.0,92.0,83.0,59.0,59.0,90.0,85.0,54.0,47.0
P. Aubameyang,88,70.0,76.0,76.0,79.0,77.0,64.0,79.0,82.0,93.0,95.0,76.0,82.0,43.0,79.0,77.0,86.0,25.0,36.0
M. Hummels,88,60.0,66.0,84.0,87.0,81.0,85.0,68.0,81.0,53.0,64.0,63.0,71.0,69.0,68.0,79.0,91.0,90.0,88.0
Marcelo,88,86.0,91.0,78.0,75.0,84.0,76.0,90.0,92.0,83.0,82.0,86.0,83.0,84.0,76.0,82.0,86.0,85.0,86.0
G. Bale,88,65.0,75.0,80.0,84.0,85.0,80.0,87.0,85.0,94.0,95.0,82.0,92.0,65.0,87.0,79.0,86.0,55.0,52.0
H. Lloris,88,54.0,41.0,43.0,10.0,50.0,50.0,10.0,34.0,65.0,62.0,55.0,23.0,31.0,74.0,30.0,65.0,10.0,18.0
G. Higuaín,88,69.0,70.0,85.0,80.0,75.0,59.0,84.0,85.0,73.0,73.0,75.0,86.0,50.0,79.0,74.0,86.0,22.0,18.0
Thiago Silva,88,68.0,74.0,82.0,81.0,80.0,80.0,62.0,80.0,70.0,72.0,68.0,71.0,76.0,90.0,72.0,81.0,89.0,85.0
S. Handanovič,88,36.0,41.0,71.0,10.0,36.0,34.0,12.0,16.0,51.0,55.0,47.0,22.0,25.0,78.0,41.0,69.0,10.0,13.0
G. Buffon,88,49.0,39.0,69.0,13.0,37.0,35.0,26.0,28.0,49.0,43.0,55.0,39.0,38.0,75.0,50.0,70.0,11.0,11.0
S. Umtiti,87,66.0,78.0,84.0,79.0,81.0,73.0,69.0,77.0,71.0,73.0,68.0,83.0,81.0,89.0,58.0,82.0,89.0,86.0
M. Icardi,87,76.0,72.0,76.0,91.0,73.0,54.0,77.0,81.0,77.0,78.0,76.0,84.0,56.0,94.0,64.0,85.0,24.0,20.0
K. Koulibaly,87,40.0,71.0,94.0,81.0,66.0,56.0,66.0,60.0,68.0,75.0,50.0,55.0,87.0,81.0,43.0,78.0,88.0,86.0
P. Pogba,87,64.0,88.0,89.0,73.0,86.0,90.0,87.0,90.0,71.0,79.0,74.0,90.0,78.0,83.0,87.0,87.0,70.0,68.0
K. Navas,87,61.0,39.0,75.0,11.0,30.0,37.0,16.0,19.0,54.0,53.0,60.0,21.0,32.0,74.0,68.0,67.0,14.0,14.0
R. Lukaku,87,46.0,84.0,94.0,86.0,77.0,73.0,80.0,72.0,77.0,90.0,60.0,88.0,75.0,71.0,76.0,83.0,30.0,30.0
C. Immobile,87,63.0,80.0,76.0,81.0,74.0,49.0,83.0,83.0,78.0,85.0,77.0,86.0,77.0,77.0,65.0,81.0,33.0,32.0
Jordi Alba,87,85.0,91.0,61.0,70.0,84.0,74.0,80.0,84.0,93.0,93.0,90.0,64.0,75.0,81.0,70.0,79.0,84.0,85.0
D. Mertens,87,92.0,75.0,42.0,35.0,82.0,74.0,91.0,89.0,93.0,85.0,94.0,80.0,59.0,60.0,83.0,81.0,40.0,40.0
J. Vertonghen,87,60.0,75.0,79.0,80.0,79.0,74.0,71.0,76.0,61.0,65.0,61.0,80.0,84.0,85.0,68.0,83.0,87.0,88.0
M. Hamšík,87,66.0,84.0,67.0,74.0,88.0,83.0,86.0,87.0,69.0,68.0,76.0,82.0,56.0,71.0,86.0,84.0,73.0,62.0
I. Rakitić,87,66.0,84.0,66.0,58.0,87.0,90.0,84.0,87.0,66.0,59.0,72.0,84.0,67.0,39.0,86.0,81.0,74.0,70.0
Piqué,87,36.0,65.0,83.0,83.0,81.0,80.0,59.0,78.0,49.0,60.0,58.0,62.0,72.0,74.0,62.0,86.0,86.0,84.0
L. Sané,86,81.0,79.0,70.0,72.0,79.0,64.0,88.0,85.0,93.0,96.0,88.0,86.0,61.0,64.0,82.0,78.0,32.0,35.0
Bernardo Silva,86,88.0,78.0,48.0,51.0,85.0,79.0,92.0,91.0,84.0,74.0,90.0,70.0,58.0,50.0,86.0,85.0,44.0,35.0
Ederson,86,48.0,41.0,68.0,14.0,56.0,58.0,23.0,37.0,64.0,63.0,60.0,42.0,35.0,58.0,67.0,70.0,15.0,8.0
S. Mané,86,86.0,84.0,67.0,62.0,79.0,71.0,87.0,86.0,95.0,93.0,91.0,82.0,73.0,75.0,82.0,80.0,42.0,38.0
V. van Dijk,86,49.0,71.0,92.0,82.0,76.0,78.0,70.0,73.0,74.0,77.0,61.0,81.0,81.0,85.0,59.0,83.0,89.0,84.0
R. Sterling,86,93.0,78.0,52.0,38.0,84.0,69.0,88.0,87.0,95.0,92.0,93.0,73.0,38.0,57.0,77.0,77.0,58.0,54.0
Roberto Firmino,86,81.0,90.0,74.0,77.0,86.0,75.0,87.0,88.0,78.0,77.0,80.0,81.0,73.0,81.0,85.0,87.0,64.0,42.0
R. Varane,86,40.0,73.0,84.0,83.0,75.0,76.0,57.0,77.0,83.0,85.0,63.0,52.0,77.0,79.0,56.0,82.0,88.0,87.0
M. Verratti,86,94.0,77.0,52.0,55.0,90.0,89.0,90.0,88.0,69.0,62.0,87.0,56.0,89.0,64.0,87.0,93.0,83.0,80.0
Alex Sandro,86,78.0,92.0,79.0,76.0,81.0,71.0,80.0,81.0,83.0,86.0,79.0,80.0,82.0,79.0,70.0,82.0,84.0,84.0
Douglas Costa,86,91.0,78.0,63.0,50.0,84.0,68.0,92.0,91.0,97.0,93.0,93.0,86.0,55.0,61.0,84.0,84.0,38.0,34.0
T. Müller,86,72.0,87.0,68.0,82.0,83.0,72.0,75.0,82.0,73.0,75.0,75.0,78.0,57.0,81.0,85.0,83.0,41.0,44.0
Thiago,86,86.0,75.0,59.0,54.0,90.0,87.0,90.0,90.0,78.0,69.0,90.0,75.0,57.0,75.0,86.0,85.0,63.0,65.0
M. Reus,86,81.0,73.0,67.0,49.0,86.0,75.0,87.0,86.0,86.0,85.0,86.0,88.0,49.0,70.0,86.0,84.0,36.0,45.0
Azpilicueta,86,73.0,87.0,71.0,76.0,81.0,80.0,69.0,77.0,76.0,76.0,72.0,68.0,82.0,76.0,74.0,78.0,90.0,86.0
L. Bonucci,86,52.0,71.0,83.0,86.0,77.0,85.0,69.0,75.0,57.0,65.0,60.0,74.0,82.0,85.0,74.0,86.0,86.0,80.0
T. Alderweireld,86,50.0,74.0,79.0,82.0,79.0,85.0,62.0,74.0,61.0,66.0,60.0,78.0,80.0,84.0,67.0,81.0,91.0,86.0
M. Pjanić,86,79.0,78.0,66.0,60.0,89.0,85.0,86.0,89.0,66.0,66.0,77.0,78.0,70.0,61.0,88.0,86.0,74.0,70.0
M. Benatia,86,53.0,69.0,91.0,83.0,65.0,65.0,64.0,64.0,65.0,75.0,59.0,66.0,86.0,85.0,47.0,82.0,87.0,85.0
M. Özil,86,70.0,69.0,57.0,54.0,89.0,82.0,84.0,90.0,72.0,69.0,79.0,70.0,48.0,48.0,91.0,82.0,16.0,19.0
Fernandinho,86,78.0,79.0,76.0,63.0,85.0,81.0,77.0,82.0,68.0,67.0,72.0,83.0,87.0,76.0,75.0,79.0,85.0,80.0
Iniesta,86,84.0,55.0,58.0,54.0,90.0,85.0,90.0,92.0,70.0,67.0,79.0,65.0,58.0,47.0,93.0,89.0,57.0,56.0
M. Škriniar,85,48.0,77.0,83.0,80.0,70.0,68.0,59.0,67.0,70.0,73.0,48.0,50.0,86.0,78.0,57.0,80.0,88.0,82.0
S. Milinković-Savić,85,59.0,85.0,88.0,86.0,85.0,85.0,86.0,87.0,68.0,70.0,66.0,83.0,73.0,85.0,85.0,82.0,77.0,72.0
Marco Asensio,85,76.0,76.0,61.0,50.0,83.0,82.0,86.0,85.0,85.0,82.0,79.0,86.0,45.0,58.0,84.0,83.0,42.0,39.0
N. Fekir,85,91.0,80.0,82.0,49.0,83.0,75.0,90.0,89.0,79.0,79.0,90.0,84.0,73.0,69.0,81.0,89.0,37.0,25.0
Alisson,85,37.0,32.0,78.0,19.0,45.0,44.0,27.0,30.0,54.0,45.0,40.0,21.0,27.0,52.0,66.0,65.0,19.0,16.0
J. Kimmich,85,83.0,85.0,65.0,74.0,85.0,80.0,80.0,85.0,78.0,68.0,84.0,75.0,74.0,79.0,79.0,82.0,81.0,79.0
Saúl,85,69.0,86.0,77.0,83.0,85.0,83.0,83.0,85.0,74.0,73.0,76.0,78.0,69.0,79.0,82.0,83.0,79.0,76.0
R. Mahrez,85,88.0,76.0,54.0,48.0,82.0,76.0,91.0,90.0,88.0,83.0,93.0,79.0,48.0,61.0,81.0,86.0,31.0,18.0
D. Alaba,85,77.0,87.0,71.0,75.0,82.0,80.0,79.0,83.0,79.0,86.0,79.0,83.0,69.0,82.0,77.0,79.0,82.0,80.0
Koke,85,78.0,90.0,79.0,61.0,90.0,89.0,82.0,86.0,71.0,68.0,74.0,84.0,71.0,61.0,87.0,78.0,69.0,51.0
A. Lacazette,85,85.0,79.0,73.0,73.0,80.0,59.0,85.0,83.0,81.0,84.0,85.0,83.0,70.0,76.0,76.0,85.0,42.0,30.0
K. Manolas,85,59.0,76.0,82.0,80.0,60.0,61.0,54.0,65.0,80.0,85.0,68.0,40.0,86.0,86.0,22.0,79.0,87.0,89.0
N. Otamendi,85,62.0,67.0,80.0,85.0,75.0,72.0,51.0,70.0,57.0,61.0,64.0,69.0,91.0,92.0,53.0,80.0,85.0,84.0
Parejo,85,72.0,78.0,72.0,61.0,90.0,87.0,78.0,84.0,51.0,43.0,66.0,78.0,58.0,51.0,86.0,78.0,68.0,60.0
Paulinho,85,66.0,92.0,81.0,85.0,84.0,80.0,82.0,84.0,73.0,73.0,69.0,83.0,81.0,90.0,78.0,80.0,81.0,73.0
W. Szczęsny,85,51.0,45.0,65.0,16.0,32.0,36.0,11.0,22.0,51.0,47.0,55.0,15.0,40.0,71.0,48.0,65.0,13.0,12.0
A. Sánchez,85,87.0,83.0,72.0,73.0,77.0,75.0,87.0,86.0,86.0,79.0,90.0,84.0,79.0,87.0,82.0,84.0,44.0,35.0
Y. Brahimi,85,87.0,85.0,49.0,46.0,79.0,72.0,93.0,86.0,87.0,75.0,92.0,69.0,46.0,72.0,79.0,90.0,36.0,25.0
J. Boateng,85,52.0,69.0,91.0,85.0,75.0,83.0,64.0,70.0,67.0,72.0,56.0,78.0,81.0,74.0,75.0,84.0,87.0,87.0
A. Vidal,85,75.0,83.0,79.0,82.0,83.0,79.0,76.0,82.0,60.0,55.0,74.0,86.0,93.0,85.0,80.0,81.0,87.0,86.0
I. Perišić,85,74.0,89.0,78.0,80.0,81.0,77.0,84.0,85.0,84.0,88.0,78.0,84.0,65.0,84.0,79.0,80.0,52.0,54.0
E. Džeko,85,36.0,76.0,80.0,84.0,77.0,72.0,76.0,84.0,65.0,66.0,57.0,86.0,51.0,66.0,74.0,83.0,28.0,16.0
S. Khedira,85,54.0,78.0,87.0,76.0,85.0,82.0,81.0,84.0,54.0,60.0,55.0,82.0,82.0,68.0,82.0,84.0,83.0,76.0
Diego Costa,85,53.0,76.0,92.0,82.0,65.0,52.0,77.0,83.0,74.0,76.0,58.0,83.0,93.0,64.0,74.0,83.0,39.0,34.0
R. Nainggolan,85,82.0,93.0,77.0,59.0,84.0,81.0,80.0,85.0,78.0,73.0,76.0,84.0,88.0,76.0,76.0,84.0,86.0,90.0
Naldo,85,36.0,61.0,83.0,94.0,76.0,70.0,60.0,68.0,60.0,65.0,46.0,92.0,72.0,45.0,59.0,84.0,88.0,85.0
B. Matuidi,85,79.0,94.0,76.0,68.0,83.0,77.0,78.0,79.0,79.0,77.0,83.0,78.0,86.0,84.0,76.0,82.0,84.0,86.0
Miranda,85,57.0,65.0,79.0,80.0,70.0,69.0,67.0,73.0,66.0,69.0,61.0,70.0,83.0,82.0,58.0,81.0,90.0,85.0
K. Benzema,85,66.0,75.0,80.0,80.0,83.0,62.0,83.0,86.0,76.0,76.0,76.0,81.0,65.0,73.0,85.0,79.0,15.0,12.0
Filipe Luís,85,62.0,89.0,74.0,72.0,80.0,77.0,77.0,83.0,76.0,75.0,75.0,71.0,81.0,71.0,70.0,88.0,84.0,86.0
V. Kompany,85,41.0,66.0,87.0,84.0,73.0,66.0,63.0,70.0,52.0,59.0,57.0,75.0,87.0,72.0,59.0,81.0,85.0,84.0
Pepe,85,49.0,60.0,86.0,80.0,70.0,61.0,58.0,62.0,65.0,70.0,63.0,63.0,94.0,76.0,48.0,79.0,85.0,82.0
Z. Ibrahimović,85,39.0,61.0,86.0,83.0,79.0,73.0,79.0,84.0,58.0,59.0,75.0,90.0,84.0,68.0,79.0,90.0,37.0,24.0
D. Sánchez,84,55.0,76.0,83.0,80.0,77.0,67.0,63.0,73.0,72.0,79.0,60.0,66.0,87.0,73.0,49.0,75.0,85.0,88.0
J. Giménez,84,43.0,67.0,85.0,81.0,68.0,58.0,47.0,56.0,69.0,70.0,56.0,72.0,89.0,92.0,27.0,73.0,86.0,87.0
Alex Telles,84,70.0,92.0,68.0,74.0,83.0,86.0,82.0,82.0,84.0,85.0,73.0,80.0,78.0,81.0,74.0,80.0,81.0,79.0
A. Laporte,84,55.0,67.0,82.0,85.0,76.0,78.0,59.0,73.0,62.0,66.0,45.0,68.0,75.0,75.0,57.0,77.0,86.0,87.0
Bruno Fernandes,84,78.0,89.0,67.0,58.0,85.0,82.0,83.0,85.0,79.0,76.0,77.0,87.0,65.0,72.0,86.0,83.0,66.0,53.0
N. Süle,84,33.0,65.0,94.0,86.0,78.0,63.0,42.0,63.0,52.0,84.0,33.0,77.0,82.0,38.0,30.0,72.0,85.0,83.0
A. Martial,84,81.0,75.0,75.0,69.0,77.0,60.0,87.0,86.0,88.0,89.0,85.0,84.0,58.0,74.0,73.0,79.0,39.0,36.0
D. Alli,84,62.0,90.0,71.0,77.0,85.0,80.0,83.0,85.0,73.0,76.0,76.0,78.0,84.0,67.0,85.0,86.0,70.0,63.0
Fabinho,84,67.0,92.0,79.0,75.0,83.0,78.0,76.0,82.0,69.0,72.0,69.0,78.0,85.0,75.0,75.0,84.0,86.0,84.0
Marquinhos,84,68.0,75.0,74.0,80.0,81.0,78.0,59.0,76.0,73.0,76.0,69.0,53.0,80.0,86.0,51.0,79.0,87.0,87.0
William Carvalho,84,51.0,84.0,90.0,73.0,84.0,86.0,80.0,79.0,49.0,53.0,51.0,59.0,75.0,69.0,83.0,89.0,85.0,68.0
Jorginho,84,73.0,79.0,66.0,56.0,89.0,87.0,82.0,85.0,75.0,69.0,80.0,71.0,79.0,58.0,87.0,79.0,78.0,70.0
F. Thauvin,84,71.0,83.0,66.0,75.0,83.0,76.0,85.0,86.0,87.0,80.0,86.0,83.0,56.0,76.0,80.0,82.0,29.0,31.0
Carvajal,84,79.0,84.0,74.0,70.0,81.0,71.0,76.0,83.0,79.0,84.0,81.0,64.0,81.0,76.0,57.0,77.0,83.0,85.0
M. Depay,84,79.0,79.0,80.0,65.0,80.0,74.0,85.0,85.0,87.0,87.0,82.0,87.0,76.0,74.0,82.0,79.0,31.0,20.0
H. Son,84,76.0,85.0,63.0,65.0,79.0,64.0,88.0,85.0,88.0,87.0,82.0,86.0,60.0,63.0,80.0,82.0,34.0,33.0
A. Lopes,84,62.0,36.0,73.0,16.0,32.0,31.0,15.0,21.0,63.0,64.0,67.0,20.0,43.0,82.0,48.0,65.0,15.0,13.0
S. de Vrij,84,59.0,66.0,80.0,80.0,71.0,71.0,63.0,71.0,67.0,69.0,61.0,65.0,78.0,76.0,59.0,82.0,87.0,83.0
M. Perin,84,30.0,30.0,52.0,12.0,33.0,31.0,19.0,23.0,57.0,56.0,70.0,23.0,25.0,75.0,44.0,65.0,12.0,19.0
J. Cuadrado,84,82.0,78.0,61.0,58.0,80.0,69.0,90.0,85.0,89.0,93.0,91.0,84.0,78.0,75.0,76.0,80.0,70.0,74.0
Iago Aspas,84,74.0,75.0,60.0,78.0,79.0,64.0,86.0,85.0,85.0,78.0,87.0,79.0,63.0,68.0,75.0,85.0,21.0,18.0
B. Leno,84,44.0,43.0,68.0,13.0,45.0,40.0,16.0,22.0,46.0,52.0,52.0,23.0,28.0,73.0,54.0,66.0,15.0,18.0
N. Matić,84,50.0,84.0,85.0,74.0,84.0,83.0,80.0,79.0,52.0,59.0,44.0,83.0,80.0,67.0,73.0,84.0,84.0,75.0
L. Hrádecký,84,39.0,34.0,55.0,11.0,15.0,20.0,10.0,20.0,38.0,44.0,43.0,14.0,31.0,69.0,53.0,48.0,10.0,13.0
Illarramendi,84,75.0,77.0,68.0,51.0,86.0,82.0,78.0,83.0,66.0,57.0,71.0,69.0,76.0,63.0,86.0,79.0,83.0,80.0
K. Walker,84,72.0,89.0,75.0,74.0,78.0,67.0,79.0,78.0,86.0,93.0,67.0,86.0,78.0,83.0,69.0,75.0,84.0,83.0
I. Gündoğan,84,78.0,69.0,72.0,50.0,88.0,83.0,85.0,86.0,67.0,68.0,78.0,77.0,70.0,61.0,86.0,87.0,68.0,64.0
José Callejón,84,80.0,91.0,55.0,65.0,80.0,51.0,82.0,85.0,88.0,89.0,85.0,78.0,54.0,73.0,78.0,79.0,32.0,32.0
A. Di María,84,77.0,73.0,60.0,51.0,82.0,79.0,86.0,85.0,85.0,84.0,92.0,83.0,73.0,72.0,82.0,82.0,59.0,56.0
M. Mandžukić,84,53.0,83.0,85.0,90.0,75.0,67.0,76.0,77.0,67.0,73.0,67.0,80.0,88.0,85.0,74.0,80.0,64.0,64.0
Willian,84,79.0,85.0,60.0,31.0,80.0,77.0,88.0,84.0,91.0,86.0,89.0,79.0,44.0,41.0,83.0,79.0,57.0,51.0
Sergio Asenjo,84,58.0,41.0,73.0,13.0,39.0,39.0,15.0,14.0,59.0,54.0,62.0,24.0,20.0,73.0,46.0,64.0,15.0,14.0
E. Banega,84,83.0,74.0,67.0,49.0,88.0,87.0,84.0,86.0,68.0,64.0,79.0,74.0,73.0,57.0,88.0,80.0,69.0,64.0
A. Witsel,84,60.0,86.0,82.0,80.0,89.0,79.0,78.0,84.0,67.0,74.0,78.0,78.0,82.0,76.0,79.0,89.0,79.0,85.0
D. Payet,84,80.0,73.0,72.0,59.0,84.0,80.0,86.0,90.0,75.0,72.0,79.0,80.0,57.0,48.0,87.0,82.0,36.0,39.0
Jonas,84,69.0,66.0,63.0,84.0,76.0,75.0,84.0,88.0,65.0,64.0,77.0,84.0,61.0,69.0,83.0,87.0,36.0,25.0
Sokratis,84,64.0,69.0,86.0,85.0,60.0,51.0,58.0,58.0,64.0,73.0,60.0,77.0,88.0,86.0,45.0,82.0,87.0,85.0
S. Ruffier,84,55.0,37.0,76.0,12.0,33.0,34.0,12.0,15.0,45.0,50.0,51.0,21.0,31.0,72.0,49.0,66.0,12.0,11.0
Falcao,84,75.0,68.0,75.0,89.0,79.0,58.0,75.0,82.0,69.0,66.0,76.0,79.0,75.0,91.0,70.0,87.0,42.0,19.0
K. Schmeichel,84,47.0,34.0,64.0,16.0,44.0,46.0,12.0,40.0,59.0,60.0,62.0,36.0,35.0,60.0,59.0,67.0,14.0,13.0
Raúl Albiol,84,56.0,55.0,82.0,77.0,74.0,72.0,59.0,71.0,54.0,53.0,53.0,65.0,81.0,77.0,57.0,75.0,87.0,85.0
A. Gómez,84,94.0,75.0,48.0,38.0,82.0,74.0,89.0,87.0,94.0,86.0,92.0,76.0,56.0,70.0,85.0,84.0,30.0,34.0
A. Barzagli,84,64.0,53.0,83.0,72.0,65.0,65.0,64.0,65.0,61.0,77.0,52.0,54.0,66.0,81.0,62.0,88.0,90.0,82.0
Quaresma,84,84.0,65.0,55.0,41.0,79.0,75.0,89.0,88.0,84.0,82.0,91.0,79.0,74.0,63.0,84.0,80.0,17.0,13.0
A. Robben,84,90.0,64.0,67.0,51.0,82.0,71.0,89.0,88.0,83.0,76.0,87.0,86.0,47.0,60.0,80.0,85.0,26.0,26.0
O. Dembélé,83,85.0,73.0,46.0,43.0,78.0,70.0,90.0,83.0,93.0,92.0,90.0,83.0,54.0,59.0,84.0,75.0,30.0,33.0
Gabriel Jesus,83,91.0,84.0,68.0,74.0,76.0,66.0,86.0,85.0,87.0,85.0,92.0,78.0,73.0,77.0,77.0,82.0,23.0,19.0
Ronaldo Cabrais,83,76.0,86.0,70.0,64.0,83.0,82.0,85.0,83.0,88.0,87.0,85.0,82.0,62.0,64.0,83.0,81.0,35.0,33.0
Josué Chiamulera,83,68.0,76.0,73.0,83.0,74.0,61.0,56.0,70.0,83.0,78.0,77.0,53.0,88.0,69.0,42.0,71.0,87.0,82.0
Louri Beretta,83,55.0,56.0,87.0,83.0,73.0,47.0,75.0,74.0,79.0,83.0,55.0,85.0,65.0,84.0,58.0,79.0,27.0,24.0
P. Kimpembe,83,65.0,80.0,84.0,79.0,79.0,75.0,58.0,78.0,75.0,78.0,74.0,55.0,85.0,77.0,60.0,80.0,83.0,83.0
N. Keïta,83,90.0,82.0,58.0,42.0,88.0,78.0,88.0,88.0,78.0,60.0,89.0,76.0,78.0,53.0,81.0,79.0,62.0,61.0
C. Tolisso,83,74.0,87.0,77.0,82.0,84.0,86.0,77.0,81.0,75.0,66.0,75.0,82.0,81.0,90.0,80.0,74.0,78.0,71.0
T. Lemar,83,86.0,79.0,63.0,54.0,84.0,75.0,85.0,86.0,86.0,84.0,87.0,79.0,63.0,71.0,85.0,80.0,59.0,63.0
K. Coman,83,84.0,76.0,61.0,52.0,77.0,63.0,88.0,83.0,95.0,93.0,87.0,77.0,36.0,75.0,75.0,75.0,17.0,15.0
J. Tah,83,44.0,63.0,93.0,80.0,74.0,69.0,55.0,64.0,64.0,77.0,48.0,44.0,76.0,72.0,61.0,75.0,88.0,84.0
Anderson Talisca,83,65.0,76.0,72.0,77.0,81.0,79.0,82.0,84.0,77.0,76.0,76.0,84.0,67.0,58.0,81.0,74.0,62.0,42.0
T. Werner,83,76.0,83.0,59.0,76.0,77.0,55.0,83.0,84.0,93.0,93.0,81.0,74.0,63.0,78.0,61.0,74.0,20.0,19.0
A. Rabiot,83,72.0,82.0,80.0,77.0,85.0,83.0,79.0,83.0,73.0,74.0,79.0,80.0,76.0,73.0,80.0,82.0,81.0,75.0
